"detid","time","flow","lat","lon","geom"
K405Z2C,2016-09-19 02:00:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:03:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:06:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:09:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:12:00.000 +0200,80.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:15:00.000 +0200,80.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:18:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:21:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:24:00.000 +0200,80.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:27:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:30:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:33:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:36:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:39:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:42:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:45:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:48:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 02:51:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
